城市,月份,AQI,范围,质量等级,PM2.5,PM10,NO2,CO,SO2,O3
武汉,2021-11,79,25~156,良,47,78,10.0,0.813,56.0,78
武汉,2021-12,100,39~156,良,69,88,10.0,1.039,60.0,58
武汉,2022-01,107,34~226,轻度污染,80,84,8.0,1.113,47.0,50
武汉,2022-02,74,33~135,良,52,64,8.0,0.861,40.0,67
武汉,2022-03,66,27~139,良,25,52,9.0,0.906,41.0,86
武汉,2022-04,67,36~105,良,28,53,9.0,0.837,35.0,116
武汉,2022-05,78,47~120,良,31,57,9.0,0.877,33.0,128
武汉,2022-06,73,23~157,良,18,36,8.0,0.837,21.0,122
武汉,2022-07,67,22~144,良,15,31,6.0,0.729,20.0,117
武汉,2022-08,76,26~149,良,17,33,7.0,0.774,20.0,130
武汉,2022-09,99,48~157,良,27,52,10.0,0.81,32.0,154
武汉,2022-10,66,22~130,良,28,49,10.0,0.758,36.0,107
武汉,2022-11,59,24~89,良,33,54,9.0,0.937,39.0,78
武汉,2022-12,88,26~169,良,63,85,10.0,0.858,48.0,55
武汉,2023-01,109,26~238,轻度污染,81,107,9.0,1.045,43.0,78
武汉,2023-02,79,30~158,良,56,71,9.0,0.879,44.0,67
武汉,2023-03,82,31~142,良,47,97,9.0,0.884,50.0,92
武汉,2023-04,77,28~160,良,33,80,8.0,0.717,32.0,119
武汉,2023-05,70,37~123,良,27,50,7.0,0.684,26.0,120
武汉,2023-06,85,37~173,良,22,41,7.0,0.66,25.0,138
武汉,2023-07,58,33~88,良,14,29,6.0,0.613,18.0,106
武汉,2023-08,94,38~142,良,22,37,7.0,0.665,20.0,151
武汉,2023-09,67,24~128,良,19,32,8.0,0.7,21.0,115
武汉,2023-10,75,27~147,良,43,68,9.0,0.758,44.0,113
武汉,2023-11,69,35~102,良,41,71,9.0,0.86,47.0,72
武汉,2023-12,87,24~256,良,60,75,9.0,0.955,47.0,33
武汉,2024-01,98,37~205,良,71,84,9.0,0.984,49.0,61
武汉,2024-02,77,27~152,良,55,58,8.0,0.814,25.0,78
武汉,2024-03,69,36~108,良,41,64,8.0,0.758,36.0,103
武汉,2024-04,70,29~124,良,32,56,8.0,0.74,28.0,116
武汉,2024-05,91,41~129,良,31,53,8.0,0.626,23.0,145
武汉,2024-06,79,22~132,良,17,27,7.0,0.61,18.0,131
武汉,2024-07,53,31~131,良,14,24,6.0,0.516,15.0,100
武汉,2024-08,76,45~126,良,19,35,7.0,0.571,17.0,130
武汉,2024-09,87,34~167,良,24,41,9.0,0.63,18.0,142
武汉,2024-10,74,32~131,良,34,52,10.0,0.729,29.0,121
武汉,2024-11,72,72~72,良,52,71,9.0,0.6,20.0,126
沈阳,2013-02,118,62~267,轻度污染,81,122,1.643,153.0,30.0,63
沈阳,2013-03,109,56~262,轻度污染,73,129,1.423,103.0,31.0,74
沈阳,2013-04,91,50~179,良,58,118,1.26,31.0,27.0,90
沈阳,2013-05,104,56~255,轻度污染,70,144,1.087,34.0,37.0,131
沈阳,2013-06,84,51~152,良,52,90,0.93,23.0,43.0,123
沈阳,2013-07,73,42~128,良,40,83,0.832,20.0,41.0,111
沈阳,2013-08,77,35~138,良,50,94,0.984,27.0,33.0,105
沈阳,2013-09,76,41~185,良,46,88,0.953,40.0,46.0,90
沈阳,2013-10,114,44~264,轻度污染,83,130,1.606,54.0,57.0,62
沈阳,2013-11,113,56~283,轻度污染,75,124,1.657,132.0,57.0,35
沈阳,2013-12,163,78~345,中度污染,122,171,1.8,215.0,66.0,27
沈阳,2014-01,130,81~233,轻度污染,90,136,1.258,197.0,58.0,38
沈阳,2014-02,137,0~308,轻度污染,100,146,1.314,178.0,59.0,58
沈阳,2014-03,114,58~234,轻度污染,81,133,1.052,101.0,56.0,78
沈阳,2014-04,100,56~180,良,67,134,0.96,40.0,52.0,109
沈阳,2014-05,84,46~167,良,49,99,0.861,29.0,47.0,122
沈阳,2014-06,87,40~160,良,50,81,0.827,23.0,43.0,134
沈阳,2014-07,97,49~182,良,55,95,0.923,23.0,35.0,147
沈阳,2014-08,98,49~170,良,50,94,1.026,28.0,41.0,148
沈阳,2014-09,77,40~138,良,45,88,0.933,31.0,53.0,107
沈阳,2014-10,142,50~500,轻度污染,112,171,1.126,43.0,58.0,94
沈阳,2014-11,145,59~323,轻度污染,107,176,1.383,128.0,67.0,48
沈阳,2014-12,125,63~257,轻度污染,86,135,1.255,169.0,57.0,34
沈阳,2015-01,157,81~370,中度污染,115,163,1.613,200.0,67.0,34
沈阳,2015-02,152,70~500,中度污染,105,190,1.3,157.0,56.0,46
沈阳,2015-03,107,58~193,轻度污染,75,133,0.948,81.0,50.0,68
沈阳,2015-04,99,49~144,良,65,123,0.88,27.0,46.0,97
沈阳,2015-05,96,41~183,良,44,96,0.713,20.0,36.0,136
沈阳,2015-06,83,41~124,良,38,63,0.83,16.0,39.0,137
沈阳,2015-07,77,34~161,良,36,65,0.745,11.0,36.0,127
沈阳,2015-08,76,38~142,良,32,57,0.752,13.0,35.0,126
沈阳,2015-09,69,39~107,良,37,71,0.81,20.0,46.0,102
沈阳,2015-10,98,38~307,良,69,105,0.942,28.0,48.0,78
沈阳,2015-11,166,58~500,中度污染,145,174,1.327,94.0,58.0,51
沈阳,2015-12,141,53~289,轻度污染,105,143,1.474,127.0,56.0,36
沈阳,2016-01,105,57~169,轻度污染,77,119,1.113,114.0,50.0,54
沈阳,2016-02,83,53~144,良,54,92,0.893,91.0,40.0,74
沈阳,2016-03,114,40~350,轻度污染,67,151,0.919,59.0,43.0,103
沈阳,2016-04,87,64~172,良,45,108,0.733,20.0,35.0,115
沈阳,2016-05,88,50~146,良,39,89,0.752,20.0,37.0,137
沈阳,2016-06,80,38~127,良,36,66,0.8,17.0,37.0,132
沈阳,2016-07,87,32~146,良,38,61,0.832,13.0,28.0,139
沈阳,2016-08,76,23~140,良,31,56,0.781,17.0,29.0,124
沈阳,2016-09,64,29~104,良,38,64,0.93,22.0,37.0,101
沈阳,2016-10,76,30~206,良,52,83,0.945,28.0,44.0,67
沈阳,2016-11,100,38~272,轻度污染,74,109,1.01,72.0,49.0,47
沈阳,2016-12,128,43~270,轻度污染,95,133,1.442,98.0,57.0,40
沈阳,2017-01,123,53~273,轻度污染,87,123,1.377,104.0,55.0,51
沈阳,2017-02,94,45~215,良,66,96,1.079,74.0,46.0,77
沈阳,2017-03,115,41~207,轻度污染,84,125,1.026,55.0,54.0,112
沈阳,2017-04,83,49~129,良,45,93,0.767,24.0,36.0,121
沈阳,2017-05,105,55~216,轻度污染,30,70,0.629,14.0,29.0,146
沈阳,2017-06,101,44~204,轻度污染,34,64,0.767,18.0,33.0,158
沈阳,2017-07,99,50~178,良,31,52,0.742,12.0,28.0,158
沈阳,2017-08,63,35~117,良,25,45,0.832,15.0,30.0,109
沈阳,2017-09,64,39~101,良,32,62,0.937,23.0,38.0,106
沈阳,2017-10,80,37~173,良,52,89,1.103,25.0,48.0,74
沈阳,2017-11,67,38~150,良,40,76,0.847,30.0,38.0,54
沈阳,2017-12,94,44~196,良,66,103,1.352,49.0,50.0,21
沈阳,2018-01,83,39~169,良,58,89,1.074,42.0,45.0,42
沈阳,2018-02,87,0~160,良,61,91,1.036,37.0,39.0,68
沈阳,2018-03,86,0~201,良,61,91,1.023,28.0,39.0,97
沈阳,2018-04,67,0~114,良,37,81,0.797,18.0,30.0,113
沈阳,2018-05,69,0~145,良,30,67,0.781,19.0,31.0,126
沈阳,2018-06,88,38~200,良,27,50,0.857,18.0,28.0,143
沈阳,2018-07,61,27~154,良,21,39,0.723,13.0,23.0,103
沈阳,2018-08,59,30~120,良,18,38,0.729,13.0,30.0,96
沈阳,2018-09,52,34~85,良,23,47,0.83,21.0,37.0,80
沈阳,2018-10,63,25~125,良,39,72,0.981,23.0,42.0,69
沈阳,2018-11,76,43~153,良,51,86,1.073,29.0,48.0,42
沈阳,2018-12,72,0~159,良,47,79,1.171,30.0,42.0,41
沈阳,2019-01,101,51~262,轻度污染,70,116,1.355,32.0,49.0,44
沈阳,2019-02,97,48~227,良,71,102,1.164,31.0,42.0,65
沈阳,2019-03,93,40~251,良,61,110,0.958,25.0,42.0,90
沈阳,2019-04,84,46~374,良,40,106,0.737,20.0,34.0,105
沈阳,2019-05,83,45~197,良,32,82,0.687,20.0,26.0,130
沈阳,2019-06,78,25~134,良,23,44,0.767,14.0,29.0,130
沈阳,2019-07,90,42~148,良,27,47,0.894,10.0,23.0,147
沈阳,2019-08,53,19~115,良,19,34,0.768,11.0,24.0,93
沈阳,2019-09,67,25~148,良,26,57,0.927,18.0,36.0,104
沈阳,2019-10,77,23~153,良,46,89,0.994,20.0,42.0,78
沈阳,2019-11,60,26~117,良,37,67,0.833,24.0,41.0,42
沈阳,2019-12,87,30~185,良,62,87,1.129,29.0,47.0,37
沈阳,2020-01,141,58~315,轻度污染,108,138,1.542,32.0,57.0,51
沈阳,2020-02,75,31~208,良,51,75,0.972,18.0,30.0,71
沈阳,2020-03,65,43~129,良,39,73,0.694,16.0,32.0,86
沈阳,2020-04,97,56~173,良,60,120,0.82,17.0,39.0,117
沈阳,2020-05,67,29~127,良,23,62,0.658,14.0,26.0,112
沈阳,2020-06,85,37~194,良,23,55,0.733,16.0,30.0,139
沈阳,2020-07,95,39~179,良,28,54,0.89,14.0,28.0,152
沈阳,2020-08,62,22~112,良,20,38,0.816,10.0,24.0,107
沈阳,2020-09,49,22~110,优,22,44,0.767,12.0,30.0,77
沈阳,2020-10,68,29~135,良,40,83,1.029,21.0,42.0,71
沈阳,2020-11,68,22~158,良,43,79,0.933,24.0,40.0,48
沈阳,2020-12,68,28~112,良,46,75,1.013,25.0,43.0,42
沈阳,2021-01,88,32~275,良,63,93,1.21,22.0,43.0,48
沈阳,2021-02,78,34~142,良,54,81,0.968,19.0,33.0,71
沈阳,2021-03,105,39~247,轻度污染,70,127,0.961,19.0,42.0,91
沈阳,2021-04,71,41~142,良,41,84,0.71,15.0,32.0,108
沈阳,2021-05,73,35~139,良,28,67,0.748,15.0,27.0,117
沈阳,2021-06,66,32~132,良,19,37,0.667,11.0,25.0,115
沈阳,2021-07,65,30~110,良,20,38,0.758,8.0,21.0,113
沈阳,2021-08,56,18~103,良,20,38,0.852,10.0,24.0,99
沈阳,2021-09,50,26~98,优,19,40,0.827,12.0,30.0,80
沈阳,2021-10,55,27~95,良,31,60,0.797,14.0,36.0,63
沈阳,2021-11,76,30~145,良,52,76,0.907,19.0,43.0,46
沈阳,2021-12,59,29~93,良,38,64,0.871,20.0,37.0,43
沈阳,2022-01,86,36~205,良,62,89,1.039,19.0,43.0,45
沈阳,2022-02,62,34~160,良,42,65,0.814,17.0,33.0,71
沈阳,2022-03,65,35~122,良,39,63,0.787,15.0,28.0,87
沈阳,2022-04,74,48~113,良,36,65,0.81,14.0,22.0,123
沈阳,2022-05,77,30~154,良,24,56,0.729,15.0,25.0,129
沈阳,2022-06,60,25~113,良,20,35,0.803,10.0,24.0,104
沈阳,2022-07,59,29~120,良,18,33,0.758,8.0,20.0,106
沈阳,2022-08,56,22~101,良,18,34,0.758,10.0,23.0,101
沈阳,2022-09,65,24~144,良,20,45,0.77,15.0,29.0,105
沈阳,2022-10,53,20~123,良,29,53,0.774,14.0,33.0,72
沈阳,2022-11,63,29~135,良,42,67,0.92,17.0,37.0,49
沈阳,2022-12,60,30~123,良,37,65,0.981,18.0,37.0,47
沈阳,2023-01,70,33~195,良,45,77,0.99,16.0,34.0,52
沈阳,2023-02,77,37~160,良,52,83,0.925,16.0,37.0,65
沈阳,2023-03,82,40~153,良,49,104,0.881,18.0,36.0,101
沈阳,2023-04,101,38~358,轻度污染,49,128,0.737,14.0,30.0,106
沈阳,2023-05,79,39~189,良,24,66,0.668,14.0,28.0,124
沈阳,2023-06,89,49~150,良,19,37,0.747,11.0,26.0,146
沈阳,2023-07,77,23~162,良,19,36,0.777,8.0,20.0,127
沈阳,2023-08,54,27~118,良,15,29,0.681,7.0,21.0,97
沈阳,2023-09,60,35~105,良,19,42,0.837,13.0,31.0,104
沈阳,2023-10,59,30~109,良,32,60,0.855,14.0,36.0,86
沈阳,2023-11,58,27~145,良,37,56,0.823,15.0,36.0,51
沈阳,2023-12,80,30~163,良,53,81,1.106,16.0,43.0,25
沈阳,2024-01,73,29~155,良,51,72,1.068,14.0,43.0,46
沈阳,2024-02,93,34~374,良,67,89,0.928,15.0,35.0,74
沈阳,2024-03,73,41~163,良,46,84,0.787,13.0,33.0,93
沈阳,2024-04,86,37~180,良,50,94,0.747,13.0,30.0,116
沈阳,2024-05,74,34~135,良,20,49,0.652,12.0,24.0,125
沈阳,2024-06,89,42~185,良,17,35,0.727,11.0,25.0,143
沈阳,2024-07,71,25~153,良,23,36,0.881,5.0,22.0,121
沈阳,2024-08,61,24~108,良,16,32,0.8,8.0,23.0,110
沈阳,2024-09,46,24~78,优,16,35,0.76,11.0,30.0,81
沈阳,2024-10,59,27~108,良,33,57,0.826,14.0,37.0,80
沈阳,2024-11,59,59~59,良,42,62,0.9,18.0,46.0,53
青岛,2014-01,130,41~272,轻度污染,96,166,65.0,52.0,1.306,59
青岛,2014-02,90,35~201,良,62,99,47.0,40.0,1.089,79
青岛,2014-03,97,57~199,良,66,132,43.0,53.0,1.123,101
青岛,2014-04,88,51~183,良,52,108,25.0,38.0,0.807,122
青岛,2014-05,97,46~152,良,52,121,25.0,34.0,0.694,146
青岛,2014-06,77,51~123,良,38,78,16.0,22.0,0.523,127
青岛,2014-07,83,37~153,良,45,88,17.0,26.0,0.639,130
青岛,2014-08,82,41~170,良,38,83,21.0,33.0,0.69,134
青岛,2014-09,75,51~111,良,31,71,20.0,33.0,0.683,123
青岛,2014-10,81,46~136,良,42,94,21.0,38.0,0.748,121
青岛,2014-11,100,50~204,轻度污染,70,124,38.0,54.0,1.923,69
青岛,2014-12,97,57~261,良,68,121,58.0,58.0,1.11,51
青岛,2015-01,104,48~234,轻度污染,73,122,47.0,47.0,1.258,58
青岛,2015-02,99,49~193,良,67,126,40.0,39.0,1.171,78
青岛,2015-03,86,49~168,良,54,114,26.0,37.0,0.958,100
青岛,2015-04,89,56~185,良,48,103,22.0,33.0,0.877,132
青岛,2015-05,79,54~132,良,35,87,21.0,31.0,0.781,130
青岛,2015-06,86,43~183,良,35,75,22.0,27.0,0.82,139
青岛,2015-07,61,29~139,良,31,68,20.0,20.0,0.655,103
青岛,2015-08,68,39~147,良,35,74,19.0,24.0,0.623,104
青岛,2015-09,61,41~103,良,27,64,21.0,30.0,0.61,105
青岛,2015-10,79,52~130,良,45,94,21.0,32.0,0.758,106
青岛,2015-11,84,40~201,良,59,92,22.0,35.0,0.973,66
青岛,2015-12,136,44~354,轻度污染,103,150,47.0,47.0,1.465,53
青岛,2016-01,113,47~306,轻度污染,82,128,45.0,39.0,1.248,58
青岛,2016-02,85,36~185,良,58,99,34.0,34.0,1.028,80
青岛,2016-03,81,49~157,良,49,104,24.0,40.0,0.819,101
青岛,2016-04,97,47~344,良,52,129,23.0,41.0,0.867,117
青岛,2016-05,80,48~157,良,41,92,18.0,36.0,0.706,122
青岛,2016-06,66,34~142,良,27,54,13.0,27.0,0.553,118
青岛,2016-07,57,25~89,良,27,56,9.0,21.0,0.526,99
青岛,2016-08,51,29~104,良,17,44,10.0,20.0,0.471,89
青岛,2016-09,84,41~150,良,31,68,14.0,23.0,0.583,136
青岛,2016-10,62,37~90,良,30,67,16.0,29.0,0.632,95
青岛,2016-11,75,33~138,良,50,89,25.0,40.0,0.813,72
青岛,2016-12,100,44~249,良,71,112,28.0,50.0,1.103,58
青岛,2017-01,99,40~299,良,71,111,31.0,46.0,1.274,62
青岛,2017-02,80,44~212,良,54,86,26.0,36.0,0.925,83
青岛,2017-03,71,54~93,良,44,78,18.0,38.0,0.745,104
青岛,2017-04,83,57~130,良,42,92,17.0,41.0,0.717,132
青岛,2017-05,99,42~204,良,26,60,12.0,29.0,0.645,139
青岛,2017-06,77,41~189,良,23,54,10.0,26.0,0.513,130
青岛,2017-07,74,30~149,良,28,67,9.0,26.0,0.687,126
青岛,2017-08,73,32~150,良,18,45,8.0,25.0,0.623,123
青岛,2017-09,93,45~162,良,23,57,9.0,31.0,0.657,149
青岛,2017-10,66,38~106,良,27,66,10.0,44.0,0.69,103
青岛,2017-11,77,42~130,良,41,96,14.0,51.0,0.793,74
青岛,2017-12,92,28~176,良,59,117,19.0,61.0,1.042,29
青岛,2018-01,100,47~241,轻度污染,68,119,17.0,52.0,0.945,51
青岛,2018-02,69,43~133,良,42,77,14.0,35.0,0.714,78
青岛,2018-03,74,31~135,良,47,84,11.0,34.0,0.623,100
青岛,2018-04,75,0~119,良,32,85,9.0,31.0,0.43,113
青岛,2018-05,65,44~130,良,27,59,6.0,28.0,0.368,116
青岛,2018-06,76,41~134,良,22,46,5.0,16.0,0.38,128
青岛,2018-07,41,20~78,优,15,36,4.0,12.0,0.329,69
青岛,2018-08,50,28~90,良,13,38,5.0,15.0,0.41,90
青岛,2018-09,65,43~98,良,18,48,6.0,30.0,0.56,112
青岛,2018-10,64,36~96,良,22,62,7.0,38.0,0.584,99
青岛,2018-11,66,0~148,良,41,80,10.0,48.0,0.853,70
青岛,2018-12,82,40~202,良,50,104,12.0,47.0,0.942,44
青岛,2019-01,113,54~283,轻度污染,81,138,17.0,61.0,1.332,45
青岛,2019-02,103,29~242,轻度污染,71,113,12.0,40.0,1.046,72
青岛,2019-03,79,42~178,良,46,92,10.0,41.0,0.745,98
青岛,2019-04,66,42~149,良,28,69,6.0,29.0,0.567,107
青岛,2019-05,87,48~177,良,27,72,7.0,31.0,0.516,139
青岛,2019-06,69,42~124,良,23,42,5.0,18.0,0.463,121
青岛,2019-07,71,24~155,良,26,47,4.0,20.0,0.526,123
青岛,2019-08,58,23~145,良,16,38,6.0,22.0,0.477,101
青岛,2019-09,78,44~177,良,22,54,6.0,31.0,0.507,129
青岛,2019-10,82,41~145,良,43,103,7.0,45.0,0.671,100
青岛,2019-11,68,34~108,良,32,84,8.0,40.0,0.583,69
青岛,2019-12,88,39~222,良,61,96,10.0,49.0,0.945,50
青岛,2020-01,104,35~250,轻度污染,76,106,12.0,46.0,1.077,59
青岛,2020-02,54,30~139,良,33,47,7.0,23.0,0.645,78
青岛,2020-03,61,45~97,良,28,67,7.0,31.0,0.565,92
青岛,2020-04,71,45~124,良,32,77,8.0,37.0,0.59,114
青岛,2020-05,67,43~106,良,22,51,6.0,24.0,0.503,117
青岛,2020-06,73,36~133,良,22,46,6.0,23.0,0.5,125
青岛,2020-07,61,24~136,良,15,29,5.0,21.0,0.426,110
青岛,2020-08,55,21~122,良,15,29,5.0,20.0,0.5,99
青岛,2020-09,75,44~182,良,20,47,7.0,36.0,0.54,126
青岛,2020-10,66,44~100,良,25,64,9.0,44.0,0.658,96
青岛,2020-11,61,28~113,良,30,68,9.0,41.0,0.623,69
青岛,2020-12,93,32~229,良,63,103,15.0,55.0,1.023,50
青岛,2021-01,91,38~188,良,49,83,12.0,46.0,1.029,55
青岛,2021-02,61,34~108,良,36,63,9.0,31.0,0.768,77
青岛,2021-03,102,36~500,轻度污染,31,61,8.0,39.0,0.635,91
青岛,2021-04,65,37~161,良,19,44,6.0,30.0,0.44,103
青岛,2021-05,79,32~213,良,17,43,6.0,24.0,0.439,120
青岛,2021-06,75,32~165,良,19,39,6.0,21.0,0.41,126
青岛,2021-07,54,27~119,良,13,24,6.0,13.0,0.368,99
青岛,2021-08,72,25~119,良,15,29,6.0,19.0,0.455,123
青岛,2021-09,67,30~120,良,13,27,5.0,19.0,0.47,119
青岛,2021-10,64,25~116,良,29,59,7.0,35.0,0.565,98
青岛,2021-11,68,30~124,良,37,76,9.0,40.0,0.7,82
青岛,2021-12,77,29~163,良,46,81,11.0,49.0,0.903,54
青岛,2022-01,73,40~168,良,50,75,10.0,43.0,0.913,62
青岛,2022-02,59,39~107,良,36,56,9.0,31.0,0.743,85
青岛,2022-03,61,35~168,良,27,55,7.0,29.0,0.6,96
青岛,2022-04,71,44~127,良,28,57,7.0,27.0,0.553,120
青岛,2022-05,84,44~148,良,23,51,8.0,26.0,0.506,139
青岛,2022-06,68,37~137,良,14,26,6.0,15.0,0.46,119
青岛,2022-07,69,26~137,良,16,28,6.0,17.0,0.474,119
青岛,2022-08,68,34~132,良,13,27,6.0,19.0,0.532,116
青岛,2022-09,73,33~126,良,13,33,6.0,23.0,0.5,125
青岛,2022-10,58,34~96,良,20,45,7.0,31.0,0.519,102
青岛,2022-11,59,32~132,良,28,57,8.0,33.0,0.65,84
青岛,2022-12,77,35~198,良,44,95,13.0,45.0,0.9,56
青岛,2023-01,79,36~172,良,46,93,11.0,32.0,0.794,69
青岛,2023-02,63,36~143,良,38,68,9.0,35.0,0.714,84
青岛,2023-03,83,46~189,良,43,110,9.0,36.0,0.632,108
青岛,2023-04,94,54~390,良,30,103,7.0,29.0,0.543,116
青岛,2023-05,91,31~342,良,26,67,7.0,25.0,0.516,133
青岛,2023-06,91,50~193,良,19,36,7.0,18.0,0.513,147
青岛,2023-07,71,21~148,良,15,29,6.0,16.0,0.523,120
青岛,2023-08,76,29~134,良,15,29,6.0,19.0,0.558,128
青岛,2023-09,73,45~125,良,18,36,7.0,25.0,0.55,127
青岛,2023-10,77,36~127,良,25,58,8.0,36.0,0.648,126
青岛,2023-11,65,31~138,良,33,69,8.0,33.0,0.643,76
青岛,2023-12,81,25~203,良,54,91,11.0,45.0,0.887,35
青岛,2024-01,78,34~165,良,53,83,10.0,45.0,0.977,60
青岛,2024-02,76,32~298,良,50,74,9.0,25.0,0.834,85
青岛,2024-03,69,44~125,良,35,83,7.0,30.0,0.723,96
青岛,2024-04,67,41~121,良,22,57,7.0,25.0,0.583,113
青岛,2024-05,77,34~145,良,22,52,8.0,23.0,0.519,126
青岛,2024-06,77,37~172,良,14,32,8.0,17.0,0.5,131
青岛,2024-07,69,28~140,良,15,27,8.0,17.0,0.587,120
青岛,2024-08,77,34~154,良,15,33,8.0,16.0,0.642,129
青岛,2024-09,70,26~136,良,11,27,8.0,18.0,0.543,121
青岛,2024-10,64,38~100,良,23,47,9.0,31.0,0.645,113
青岛,2024-11,69,69~69,良,46,87,9.0,44.0,0.8,113
